week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
7/30/2016,42,sorry,Justin Bieber,39,1,38,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
8/6/2016,1,cheap thrills,Sia Featuring Sean Paul,3,1,23,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
8/6/2016,2,one dance,Drake Featuring WizKid & Kyla,1,1,16,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
8/6/2016,4,can't stop the feeling!,Justin Timberlake,2,1,11,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
8/6/2016,23,work,Rihanna Featuring Drake,21,1,26,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
8/6/2016,45,sorry,Justin Bieber,42,1,39,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
8/13/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,24,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
8/13/2016,3,one dance,Drake Featuring WizKid & Kyla,2,1,17,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
8/13/2016,5,can't stop the feeling!,Justin Timberlake,4,1,12,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
8/13/2016,26,work,Rihanna Featuring Drake,23,1,27,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
8/13/2016,41,sorry,Justin Bieber,45,1,40,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
8/20/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,25,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
8/20/2016,2,one dance,Drake Featuring WizKid & Kyla,3,1,18,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
8/20/2016,4,can't stop the feeling!,Justin Timberlake,5,1,13,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
8/20/2016,9,closer,The Chainsmokers Featuring Halsey,-,9,1,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
8/20/2016,31,work,Rihanna Featuring Drake,26,1,28,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
8/20/2016,45,sorry,Justin Bieber,41,1,41,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
8/27/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,26,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
8/27/2016,5,one dance,Drake Featuring WizKid & Kyla,2,1,19,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
8/27/2016,6,closer,The Chainsmokers Featuring Halsey,9,6,2,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
8/27/2016,9,can't stop the feeling!,Justin Timberlake,4,1,14,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
8/27/2016,34,work,Rihanna Featuring Drake,31,1,29,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
8/27/2016,50,sorry,Justin Bieber,45,1,42,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
9/3/2016,1,closer,The Chainsmokers Featuring Halsey,6,1,3,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
9/3/2016,2,cheap thrills,Sia Featuring Sean Paul,1,1,27,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
9/3/2016,7,one dance,Drake Featuring WizKid & Kyla,5,1,20,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
9/3/2016,9,can't stop the feeling!,Justin Timberlake,9,1,15,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
9/3/2016,38,work,Rihanna Featuring Drake,34,1,30,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
