week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
12/12/2015,36,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,38,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
12/19/2015,2,sorry,Justin Bieber,2,2,6,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
12/19/2015,5,the hills,The Weeknd,5,1,28,the weeknd,,the weeknd_the hills,The Weeknd-the hills
12/19/2015,16,can't feel my face,The Weeknd,17,1,26,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
12/19/2015,39,see you again,Wiz Khalifa Featuring Charlie Puth,36,1,39,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
12/26/2015,2,sorry,Justin Bieber,2,2,7,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
12/26/2015,6,the hills,The Weeknd,5,1,29,the weeknd,,the weeknd_the hills,The Weeknd-the hills
12/26/2015,15,can't feel my face,The Weeknd,16,1,27,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
12/26/2015,41,see you again,Wiz Khalifa Featuring Charlie Puth,39,1,40,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
1/2/2016,2,sorry,Justin Bieber,2,2,8,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
1/2/2016,7,the hills,The Weeknd,6,1,30,the weeknd,,the weeknd_the hills,The Weeknd-the hills
1/2/2016,15,can't feel my face,The Weeknd,15,1,28,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
1/2/2016,42,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,41,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
1/9/2016,2,sorry,Justin Bieber,2,2,9,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
1/9/2016,9,the hills,The Weeknd,7,1,31,the weeknd,,the weeknd_the hills,The Weeknd-the hills
1/9/2016,21,can't feel my face,The Weeknd,15,1,29,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
1/9/2016,41,see you again,Wiz Khalifa Featuring Charlie Puth,42,1,42,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
1/16/2016,2,sorry,Justin Bieber,2,2,10,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
1/16/2016,11,the hills,The Weeknd,9,1,32,the weeknd,,the weeknd_the hills,The Weeknd-the hills
1/16/2016,24,can't feel my face,The Weeknd,21,1,30,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
1/16/2016,30,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,43,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
1/23/2016,1,sorry,Justin Bieber,2,1,11,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
1/23/2016,11,the hills,The Weeknd,11,1,33,the weeknd,,the weeknd_the hills,The Weeknd-the hills
1/23/2016,24,can't feel my face,The Weeknd,24,1,31,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
1/23/2016,36,see you again,Wiz Khalifa Featuring Charlie Puth,30,1,44,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
1/30/2016,1,sorry,Justin Bieber,1,1,12,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
1/30/2016,14,the hills,The Weeknd,11,1,34,the weeknd,,the weeknd_the hills,The Weeknd-the hills
1/30/2016,27,can't feel my face,The Weeknd,24,1,32,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
1/30/2016,38,see you again,Wiz Khalifa Featuring Charlie Puth,36,1,45,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
2/6/2016,1,sorry,Justin Bieber,1,1,13,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
2/6/2016,18,the hills,The Weeknd,14,1,35,the weeknd,,the weeknd_the hills,The Weeknd-the hills
2/6/2016,32,can't feel my face,The Weeknd,27,1,33,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
2/6/2016,37,see you again,Wiz Khalifa Featuring Charlie Puth,38,1,46,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
2/13/2016,2,sorry,Justin Bieber,1,1,14,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
2/13/2016,9,work,Rihanna Featuring Drake,-,9,1,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
2/13/2016,21,the hills,The Weeknd,18,1,36,the weeknd,,the weeknd_the hills,The Weeknd-the hills
2/13/2016,35,can't feel my face,The Weeknd,32,1,34,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
2/13/2016,41,see you again,Wiz Khalifa Featuring Charlie Puth,37,1,47,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
